iter	Passed	Remaining
0	46	37112
1	46	18693
2	47	12575
3	47	9518
4	48	7663
5	48	6430
6	48	5542
7	49	4877
8	49	4363
9	49	3947
10	50	3609
11	50	3322
12	50	3080
13	51	2872
14	51	2696
15	52	2579
16	53	2456
17	53	2332
18	53	2216
19	54	2113
20	54	2023
21	55	1975
22	56	1894
23	56	1823
24	56	1756
25	56	1693
26	57	1634
27	57	1579
28	57	1527
29	57	1480
30	57	1437
31	58	1396
32	58	1357
33	58	1321
34	58	1287
35	59	1253
36	59	1222
37	59	1192
38	59	1163
39	59	1138
40	60	1112
41	60	1087
42	60	1065
43	60	1042
44	60	1023
45	61	1003
46	61	984
47	61	966
48	61	948
49	62	931
50	62	915
51	62	899
52	62	884
53	62	869
54	63	855
55	63	842
56	63	828
57	63	816
58	64	804
59	64	792
60	64	780
61	64	768
62	64	758
63	65	747
64	65	737
65	65	727
66	65	717
67	65	708
68	66	699
69	66	690
70	66	681
71	66	673
72	66	665
73	66	656
74	67	648
75	67	641
76	67	634
77	67	627
78	68	620
79	68	614
80	68	607
81	68	600
82	68	594
83	69	588
84	69	582
85	69	575
86	69	570
87	69	564
88	69	558
89	70	553
90	70	548
91	70	542
92	70	537
93	70	532
94	71	527
95	71	522
96	71	518
97	71	513
98	71	509
99	72	504
100	72	500
101	72	496
102	72	492
103	72	487
104	73	483
105	73	479
106	73	475
107	73	471
108	73	467
109	73	463
110	74	459
111	74	456
112	74	452
113	74	449
114	74	445
115	75	442
116	75	439
117	75	436
118	75	432
119	75	429
120	76	426
121	76	423
122	76	420
123	76	417
124	77	415
125	77	413
126	77	410
127	77	407
128	77	404
129	78	402
130	78	399
131	78	396
132	78	394
133	78	391
134	79	389
135	79	386
136	79	384
137	79	381
138	79	379
139	80	377
140	80	374
141	80	372
142	80	370
143	80	368
144	80	365
145	81	363
146	81	361
147	81	359
148	81	356
149	81	354
150	82	352
151	82	350
152	82	348
153	82	346
154	82	345
155	83	343
156	83	340
157	83	339
158	83	337
159	83	335
160	84	333
161	84	331
162	84	329
163	84	328
164	84	326
165	84	324
166	85	322
167	85	320
168	85	319
169	85	317
170	85	316
171	86	314
172	86	312
173	86	311
174	86	309
175	86	308
176	87	306
177	87	305
178	87	303
179	87	301
180	87	300
181	88	299
182	88	297
183	88	295
184	88	294
185	88	293
186	89	291
187	89	290
188	89	288
189	89	287
190	89	286
191	89	284
192	90	283
193	90	282
194	90	281
195	90	279
196	90	278
197	91	277
198	91	275
199	91	274
200	91	273
201	91	272
202	92	270
203	92	269
204	92	268
205	92	267
206	92	266
207	93	264
208	93	263
209	93	262
210	93	261
211	93	260
212	94	259
213	94	258
214	94	257
215	94	255
216	94	254
217	95	253
218	95	252
219	95	251
220	95	250
221	95	249
222	96	248
223	96	247
224	96	246
225	96	245
226	96	244
227	97	243
228	97	242
229	97	241
230	97	240
231	98	239
232	98	239
233	98	238
234	98	237
235	98	236
236	99	235
237	99	234
238	99	233
239	99	232
240	99	231
241	100	230
242	100	229
243	100	228
244	100	228
245	100	227
246	101	226
247	101	225
248	101	224
249	101	223
250	101	223
251	102	222
252	102	221
253	102	220
254	102	219
255	102	218
256	103	217
257	103	217
258	103	216
259	103	215
260	103	214
261	104	213
262	104	213
263	104	212
264	104	211
265	105	210
266	105	209
267	105	209
268	105	208
269	105	207
270	105	206
271	106	206
272	106	205
273	106	204
274	106	203
275	106	202
276	107	202
277	107	201
278	107	200
279	107	199
280	107	199
281	108	198
282	108	197
283	108	197
284	108	196
285	108	195
286	109	194
287	109	194
288	109	193
289	109	192
290	109	192
291	110	191
292	110	190
293	110	190
294	110	189
295	110	188
296	110	187
297	111	187
298	111	186
299	111	185
300	111	185
301	111	184
302	112	183
303	112	183
304	112	182
305	112	181
306	112	181
307	113	180
308	113	180
309	113	179
310	113	178
311	113	178
312	114	177
313	114	176
314	114	176
315	114	175
316	114	174
317	115	174
318	115	173
319	115	173
320	115	172
321	115	171
322	116	171
323	116	170
324	116	170
325	116	169
326	116	168
327	116	168
328	117	167
329	117	167
330	117	166
331	117	165
332	117	165
333	118	164
334	118	164
335	118	163
336	118	163
337	118	162
338	119	161
339	119	161
340	119	160
341	119	160
342	119	159
343	120	159
344	120	158
345	120	158
346	120	157
347	120	156
348	120	156
349	121	155
350	121	155
351	121	154
352	121	154
353	121	153
354	122	153
355	122	152
356	122	151
357	122	151
358	122	150
359	123	150
360	123	149
361	123	149
362	123	148
363	123	148
364	124	147
365	124	147
366	124	146
367	124	146
368	124	145
369	125	145
370	125	144
371	125	144
372	125	143
373	125	143
374	126	142
375	126	142
376	126	141
377	126	141
378	126	140
379	127	140
380	127	139
381	127	139
382	127	138
383	127	138
384	127	137
385	128	137
386	128	136
387	128	136
388	128	135
389	128	135
390	129	135
391	129	134
392	129	134
393	129	133
394	129	133
395	130	132
396	130	132
397	130	131
398	130	131
399	130	130
400	131	130
401	131	130
402	131	129
403	131	129
404	131	128
405	132	128
406	132	127
407	132	127
408	132	126
409	132	126
410	133	125
411	133	125
412	133	125
413	133	124
414	133	124
415	134	123
416	134	123
417	134	123
418	134	122
419	135	122
420	135	121
421	135	121
422	135	120
423	135	120
424	136	120
425	136	119
426	136	119
427	136	118
428	136	118
429	137	117
430	137	117
431	137	117
432	137	116
433	137	116
434	137	115
435	138	115
436	138	114
437	138	114
438	138	114
439	139	113
440	139	113
441	139	112
442	139	112
443	139	112
444	140	111
445	140	111
446	140	110
447	140	110
448	140	110
449	141	109
450	141	109
451	141	108
452	141	108
453	141	108
454	141	107
455	142	107
456	142	106
457	142	106
458	142	106
459	142	105
460	143	105
461	143	104
462	143	104
463	143	104
464	143	103
465	144	103
466	144	102
467	144	102
468	144	102
469	144	101
470	144	101
471	145	100
472	145	100
473	145	100
474	145	99
475	145	99
476	146	98
477	146	98
478	146	98
479	146	97
480	146	97
481	147	97
482	147	96
483	147	96
484	147	95
485	147	95
486	148	95
487	148	94
488	148	94
489	148	93
490	148	93
491	148	93
492	149	92
493	149	92
494	149	92
495	149	91
496	149	91
497	150	90
498	150	90
499	150	90
500	150	89
501	150	89
502	150	89
503	151	88
504	151	88
505	151	88
506	151	87
507	151	87
508	152	86
509	152	86
510	152	86
511	152	85
512	152	85
513	153	85
514	153	84
515	153	84
516	153	84
517	153	83
518	154	83
519	154	83
520	154	82
521	154	82
522	154	82
523	155	81
524	155	81
525	155	81
526	155	80
527	156	80
528	156	80
529	156	79
530	156	79
531	157	79
532	157	78
533	157	78
534	157	78
535	157	77
536	158	77
537	158	77
538	158	76
539	158	76
540	158	76
541	159	75
542	159	75
543	159	75
544	159	74
545	159	74
546	159	73
547	160	73
548	160	73
549	160	72
550	160	72
551	160	72
552	161	71
553	161	71
554	161	71
555	161	70
556	161	70
557	161	70
558	162	69
559	162	69
